 Title_id	Title	Plot	Awards	totalSeasons	Year	Rated	Runtime	Director	Actors	Language	Type
tt8890674	Barababor	A team of explorers navigating the oceans in search of fame and fortune. Particularly incompetent and constantly out of luck, they are faced with every kind of unexpected obstacles and are plunged into the wildest and craziest adventures.		1.0	2018–		2 min			None	series
tt8890644	Programma Sergeya Dorenko			2.0	1999–2001		60 min		Sergei Dorenko, Vladimir Putin	Russian	series
tt8890636	Dinge Erklärt - Kurzgesagt			3.0	2017–				Steve Taylor	German	series
tt8890546	Idol X Warrior: Miracle Tunes! (European Version)	"""The World of Music"" is under the rule of the Lord Demon. The important treasure, ""the Jewel of the Sound"", was stolen by the Lord Demon, who injected the Negative Energy, turning it into ..."			2018–				Yuna Miralles, Raúl Navarro, Josep Maria Riera, Joe Lewis	English	series
tt8890504	Bhutu	The story of a jolly little ghost.			2016–2018				Viraj Kapoor, Kinshuk Mahajan, Arshiya Mukherjee, Sanjeeda Sheikh	Bengali	series
tt8890400	Ovidio				1989–1990				Maurizio Costanzo, Ingrid Schoeller, Monica Scattini, Sabina Guzzanti	Italian	series
tt8889788	Eddy's Kingdom				2019–				Omar Mouallem	English	series
tt8889708	Mafia Killers with Colin McLaren	Detective Colin McLaren examines notorious mobsters who played the deadly game and won...for a while.		1.0	2018–				Ross Mullan, Colin McLaren	English	series
tt8889052	Holi Cow	This comedic series follows the adventures of four constantly squabbling friends who have to come together to buy and run an Indian restaurant in Edison, New Jersey.			2018–		22 min		Pooja Devariya, Mohit Gautam, Danvir Singh, Naren Weiss	English	series
tt8889042	IMDb at New York Comic Con	Kevin Smith hosts IMDb's coverage of New York Comic Con, the East Coast's largest pop culture convention. Tune in for an all-access inside look at celebrity interviews, breaking news, and exclusive convention coverage of upcoming films and TV shows.		2.0	2017–				Daniel Dae Kim, Mike Mignola, Kevin Smith		series
tt8888880	DC Tales from the Vault	DC Comics' Librarian Benjamin Le Clear takes you on a journey of discovery of fun and fascination with interesting tidbits about DC's characters, stories, and the people behind them.		2.0	2017–				Benjamin Leclear	English	series
tt8888798	Trailer Trash	"Trailer Trash showcases Hollywood's latest, and hopefully greatest, movie trailers - then based on the trailers, the hosts tell you whether they're going to ""hitch"" or ""ditch"" the movie. ..."		1.0	2007–2009				Michael T. Coleman, Bethany Dwyer	English	series
tt8888710	Undercover Law	A compelling mixture of a taught thriller and Latin telenova, made by Netflix. A Colombian product of characters who infiltrate the drug / narco scene to work undercover from the inside. ...	2 nominations.	1.0	2018–				Valeria Galviz, Patrick Forster-Delmas, Luis Mesa, Toto Vega	Spanish	series
tt8888664	Papa by Chance	The story of Yuvaan, a high-spirited, carefree, cool dude from Delhi whose life turns upside down when he has to play the role of a father.			2018		20 min		Zebby Singh, Sana Sayyad	Hindi	series
tt8888660	Las bodas de Sálvame				2013				Kiko Hernández, Carmen Alcayde, Lydia Lozano, Kiko Matamoros	Spanish	series
tt8888656	World's Most Evil Killers	An in-depth look at the lives and crimes of some of the World's most evil killers including Jeffrey Dahmer, Richard Ramirez, Cary Stayner, Leonard Lake, Dorothea Puente and more.		5.0	2017–		60 min		Elizabeth Yardley, Fred Dinenage, Geoffrey Wansell, Stuart Hamilton	English	series
tt8888618	Enemies: The President, Justice & The FBI	An examination of the long, complex history of American presidents testing the rule of law and the FBI trying to enforce it. Featuring interviews with current and former U.S. government officials.		1.0	2018				Scott T. Hinson, Jack Goldsmith, Miah Kane, Tim Weiner	English	series
tt8888532	Spin the Wheel	A game show created by Justin Timberlake where contestants compete for large cash prizes by answering trivia questions in a game built around a giant, unpredictable wheel. Hosted by actor Dax Shepard.			2019–		60 min		Dax Shepard	English	series
tt8888522	Take the Tower	To win a prize, four contestants must reach the top of a tower by taking on challenges, puzzles and quizzes drawing on action movies and their tropes, and then face the evil gamemaster himself, action legend Dolph Lundgren.			2018–		45 min		Dolph Lundgren	English	series
tt8888518	Almost Settled	The Webseries Almost Settled is about two Europeans in New York, trying to settle down.			2015				Clemens Brandt, Joe Croson, Andrew Deeb, Casey Flax	English	series
tt8888454	On the Mic - La Jolla International Fashion Film Festival				2018–				Lais Pedroso	English	series
tt8888392	Orbital Redux	A former astronaut navigating life after NASA runs out of funding, is tasked with teaching a new pilot the ropes of the space program.			2018–				Yasmine Al-Bustami, Yuri Lowenthal, Natalie Whittle, Nardeep Khurmi		series
tt8888322	Bloom	A year after a devastating flood has killed five locals in an idyllic country town, a mysterious new plant appears. The plant's phenomenal ability to restore youth is so formidable that attempting to harness it means re-evaluating values.	4 wins & 13 nominations.	2.0	2019–2020		60 min		Bryan Brown, Phoebe Tonkin, Genevieve Morris, Terry Norris	English	series
tt8888294	Parovi	Parovi (English: Couples) is a Serbian reality TV show. The show is filmed, produced and broadcast from Belgrade by Happy TV. The show is considered the most popular Serbian show of all time.			2010–		1,440 min		Bojana Ristivojevic, Miomira Dragicevic, Andjela Lakicevic, Sladjana Petrusic	Serbian	series
tt8888262	Casa de Muñecos	The Falco Elizalde sisters undertake the search for authentic happiness, after discovering that their parents have separated after 50 years of marriage.		1.0	2018–		60 min		Gabriela Hernández, Héctor Noguera, Sigrid Alegría, Luz Valdivieso	Spanish	series
tt8888244	Lesser Gods	Set in a future where men and women are no longer able to reproduce. The five youngest people on Earth indulge in parties, affairs, rivalries, and fame while contending with the struggle to save the species.			2019–						series
tt8888210	Mental Samurai	Contestants battle to answer questions accurately with speed and precision on a specially designed course.		1.0	2019–	TV-PG	60 min		Rob Lowe, Natalie Peyser, Heather Hurley, Russell Rope	English	series
tt8888168	The Code	A look at the professional and personal lives of some of the military's brightest legal minds in the courtroom, where each attorney is trained as a prosecutor, a defense lawyer, an investigator - and a Marine.		1.0	2019–	TV-14	60 min		Anna Wood, Ato Essandoh, Phillipa Soo, Raffi Barsoumian	English	series
tt8888120	Zadruga				2017–		1,440 min		Dusica Jakovljevic, Ognjen Amidzic, Marko Janjusevic, Miljana Kulic	Serbian	series
tt8888010	Langs landeveien	A directly broadcast program series with VB-features, with small stops along the country road from Lindesnes to Stat.		2.0	1976–1981				Jan P. Janssen, Kjell Kristian Rike	Norwegian	series
tt8887956	Death by Magic	Magician Drummond Money-Coutts travels the globe, sharing his infectious love of his craft and attempting feats that proved fatal to other magicians.		1.0	2018–	TV-14	35 min		Troy Dillinger, L.A. James, Ebonie Marie	English	series
tt8887908	Het beste van GTST Classics			1.0	2018				Ferry Doedens, Marly van der Velden, Ferri Somogyi, Babette van Veen	Dutch	series
tt8887828	Trans Am	For decades, no other muscle car ruled the roads like the Trans Am. So when the automotive icon fell into oblivion, car savants Scott and Tod Warmack risked everything to acquire the rights...		1.0	2018–		60 min		Scott Warmack, Tod Warmack, Brandon Fruh Lowenbach, Dane Osbourne	English	series
tt8887244	Zone e Lire				2003–				Arian Cani, Mark Christopher Crawford	Albanian	series
tt8886756	Yi bu deng tian	Yi Bu Deng Tian tells the story of the grass-roots character Nalan fighting with bravery against foreigners, warlords, bandits to preserve Chinese treasures with the background of the ...			2019				Minghan He	Chinese	series
tt8886468	Yamimash	I play video games :3			2009–				Yamimash	English	series
tt8886156	Farma				2009–2016				Ognjen Amidzic, Aleksandra Jeftanovic, Zorica Markovic, Vladimir Stanojevic	Serbian	series
tt8886056	Panique sur le 16				1987–1988				Christophe Dechavanne	French	series
tt8886002	Fit 4 Life	The Fit4Life TV show made its debut January 2016, with Season 2 airing January 2017. Each season a call is put out for those who are considered obese by medical height and weight standards,...			2016–				Karen Elkins, Jonathan Hamblin, Emily Wampler	English	series
tt8885954	Brews & Books	Brews & Books is a show about a panel of voice actors that drink. Each week they read a book, screenplay or comic book as the characters from the story while drinking. Don't break character...			2018–		44 min		Eric Johnston, Tino Notarianni, Erica Sherwood, Jon Laakso	English	series
tt8885792	The wall: face au mur				2017–				Christophe Dechavanne, François Berléand, Vincent Cerutti, Dave	French	series
tt8885726	The Fintech Show			1.0	2018–				Douglas Mackenzie, Ali Paterson	English	series
tt8885612	La Báscula				2018–				Luján Argüelles, Nerea Rodríguez	Spanish	series
tt8885590	Berlin Halexanderplatz				2017–				Royana Black, Hal Cantor, Marsha Cantor, Mala Ghedia	English	series
tt8885334	RodsWorld89				2017–				Roderick Dryden Morrison	English	series
tt8885214	Chaal				1994–1995				Vijay Arora, Tina Ghai, Lekha Govil, Sona Mastan Mirza	Hindi	series
tt8885104	Sides*	Two working actors in Atlanta explore the new tinsel town boom which feels a whole lot like the old version.			2017				Laila Hobbs	English	series
tt8885004	Bizarro Bakery	Pieguyrulz takes a look at good Schneider's Bakery episodes and their awful counterparts.			2015–		10 min		PieGuyRulz	English	series
tt8884980	Transformation Nation	The hour-long nationally syndicated show highlighted everyday people across America who worked to transform their communities.			2006				Jill Cordes, Marc Istook, Tinabeth Piña	English	series
tt8884970	Bottom of the Bakery	Pieguyrulz looks at bad episodes of shows produced by Schneider's Bakery (iCarly, Sam and Cat, Victorious, Henry Danger and more).			2014–		10 min		PieGuyRulz	English	series
tt8884902	Verified				2018–				Nikki Howard, Eric Larsen, Megan Nager, Amanda Mccants	English	series
tt8884748	Family Film Failures	Mr Enter reviews bad family movies.			2018–		50 min		John Enter	English	series
tt8884618	It's You	Abby, a forlorn spiritual healer trailing a history of failed relationships, uses a mysterious tea concentrate that enables her to travel into her past. Once there, she tries to reason with...			2016–		60 min		Cheryl Graeff, Will Allan, Flavia Borges, Siera Cerny	English	series
tt8884460	My Only One	Life turns upside down for a bright young woman when her biological father, carrying a heavy past, appears in front of her after 28 years of absence.	4 wins.	1.0	2018–				Yoon Jin Yi, Hye-mi Na, Lee Jang-woo, Sung-Hoon Park	Korean	series
tt8884424	Earth Focus	"""Earth Focus"" is an environmental news magazine featuring investigative reports and in-depth stories about our changing environment and how it affects people around the world. It's funded ..."	1 win.		2018–					English	series
tt8884396	Projeto Meme				2018–				Claudia Alves, Bárbara Bárcia, Rodrigo Cebrian, Andre Fran	Portuguese	series
tt8884366	Big Forest			1.0	2018–				Moon Choi, Su-hee Go, Jeon Gook-Hwan, Soon-won Jeong	Korean	series
tt8884338	NBC's Open House		1 nomination.		2007–				Sara Gore	English	series
tt8884330	Der Bulle und das Biest			1.0	2019–		45 min		Jens Atzorn, Franziska Wulf, Rainer Reiners, Nora Huetz	German	series
tt8884326	Lunnis de leyenda	The Lunnis are friendly aliens that life in Luna Lunera's world. In a clearing in woods they go to find Lucrecia, who tells them tales of old legends or the adventures of historic figures.			2016–				Lucrecia, Joan Bentallé, David Llamas-Pye	Spanish	series
tt8884242	In The Nick Of Time	One man's life is turned upside down when his son is left at his doorstep for him to take care of. Nicholas Stephenson now must balance his life as a single father while dealing with his ...			2018–				Fredderick DeVaughn, Carlos Massey, Javetta Milton, Kateea Scott	English	series
tt8884238	Ritmo Charts TV				2012–					Spanish	series
tt8884174	Inside Perspective			7.0	1994–2000					English	series
tt8884138	Sweet Mahogany	"This is the story of an unconventional relationship between a woman and her husband and wife. While they are working through the complications of being a ""trouple"", they also have to endure..."		2.0	2018–				Keshia R. Jones, Jessica Lark, Kineh N'Goajia, Ronza Bee	English	series
tt8884124	Bubu and the Little Owls	Three young owls (Bubu, Bonie and Beil) explore the forest and face new discoveries, all while making friends, singing songs, and discovering the beauty of nature along the way.			2018–				Mariana Elizabetisky, Clarice Espíndola, César Marchetti, Luciana Ramanzini	Portuguese	series
tt8884114	Leta en Wowlandia				2018–				Catia Cantillana	Spanish	series
tt8884110	Zuzubalandia				2018–				Antoniela Canto	Portuguese	series
tt8883922	Chronicles of the Sun	A woman accused of murder must prove her innocence by exposing the secrets of her past.	13 nominations.	3.0	2018–		26 min		Jeremy Banster, Fred Bianconi, Manuel Blanc, Bertrand Farge	French	series
tt8883892	Stay	A young actress time travels back to 1923 and the vaudevillian days and becomes the star she always dreamed of being.		1.0	2019–				Jocelyn Saenz, Brett Lark, Max Raines		series
tt8883874	Precious Youth	Precious Youth tells of the love and friendship between academically motivated student Liu Ting and the problematic yet passionate Xiao Xiaojun from their college days in 1997 to current times.	1 nomination.	1.0	2016		45 min		Jun Liu		series
tt8883870	SynDROOM		1 win & 1 nomination.		2013–				Johnny de Mol	Dutch	series
tt8883814	College Tour				2007–				Twan Huys	Dutch, English	series
tt8883700	SOKO Potsdam	SOKO Potsdam is a German crime series.		3.0	2018–				Caroline Erikson, Katrin Jaehne, Michael Lott, Hendrik von Bültzingslöwen	German	series
tt8883516	Pasión por el fútbol				2017–				Sebastián Vignolo, Toti Pasman, Nicolás Distasio, Horacio Pagani	Spanish	series
tt8883484	Versus Drag Queens				2017–		60 min		Estrella Astral, Felipe Bracelis, Rocko Cornejo, Agata Gore	Spanish	series
tt8883400	Cum4k				2018–				Adriana Chechik, Aidra Fox, Alina Lopez, Ryan McLane	English	series
tt8883238	Yankee Hustle	A quick-witted drama and comedy that reveals the explosive and hilarious journey of three African immigrants as they navigate the treacherous waters of staying in America.			2018–				Deyemi Okanlawon, Damilola Olatunde, Jide Kosoko, Malaika Uwamahoro	English	series
tt8882486	Dancing Queen	A docu-series that follows Justin Johnson, aka drag superstar Alyssa Edwards, as he juggles his dance life, drag life, family life, and love life.		1.0	2018–		45 min		Alyssa Edwards, Atlee Millard, Marcella Raneri		series
tt8882388	Pitch Please				2018–				Duncan Casey, Richard Jackson	English	series
tt8881880	I Love Escassi				2010				Álvaro Muñoz Escassi, Jesús Vázquez	Spanish	series
tt8881732	Subway Surfers: The Animated Series	These misfit teens have skating adventures in their small town and sometimes get stopped by the cops, but the landing of certain alien technology changes these kids' lives.			2018–2019			Michael Hegner	Ogie Banks	English	series
tt8881642	Herngrens husbil				2018		45 min		Felix Herngren, Moa Herngren	Swedish	series
tt8881446	Temporis	A stranded traveller with a malfunctioning time-vessel changes the fate of the future when an influential historical figure from the year 1878 unintentionally gets herself trapped in the ...		1.0	2019–				Emily Hembrow, Reuben Roper	English	series
tt8881430	It Ain't Broke	An online weekly film review show.		1.0	2018–				Richard Jackson, Duncan Casey	English	series
tt8881138	Finders Keepers	A small group of outcasts with one thing in common, they are all computer hacking geniuses. After a worldwide financial crisis their leader Leo decides to rip off America's richest drug cartel with the help of his misfit friends.		1.0	2019–				Danica Dreyer, Maia Mae, Corky McMechan, Shaughnessy O'Brien		series
tt8881090	Celebs on the Farm	Farmer Chris Jeffrey welcomes eight celebrities to his farm in East Sussex, where they will spend ten days mucking in and helping out down on the farm.		1.0	2018–		60 min		Sandi Bogle, Lorraine Chase, Charlotte Dawson, Megan McKenna	English	series
tt8880942	On prend toujours un train pour la vie	-The show is a series of interviews between Josélito Michaud and guests aboard the Orford Express, the train traveling between Magog and Sherbrooke (in Quebec, Canada). Having experienced a...		5.0	2008–2013		45 min		Josélito Michaud	French	series
tt8880896	How Is It Now?	"In ""How Is It Now?"", Dennis Veldhuizen portrays as BlabberMouth where he talks about older movies and video games. He re watches the title and decides how it holds up after several year. Is..."			2018–				Dennis Veldhuizen	English	series
tt8880894	Living with Yourself	An existential comedy about a man struggling in life who undergoes a new treatment to become a better person, only to find that he's been replaced by a new and improved version of himself.	Nominated for 1 Golden Globe. Another 4 nominations.	1.0	2019–	TV-MA	26 min		Paul Rudd, Aisling Bea, Desmin Borges, Karen Pittman	English	series
tt8880826	Playhouse			1.0	2018–2019				Zanjoe Marudo, Angelica Panganiban, Kisses Delavin, Donny Pangilinan	Filipino	series
tt8880808	Rogue Artisans and Crafters: William S. Phillips - Part 2	"Host David ""Glamour Dave"" Nienow interviews internationally known aviation artist William S. Phillips about his career and art."			2018–		28 min		David Nienow, William S. Phillips	English	series
tt8880798	Rogue Artisans and Crafters: William S. Phillips - Part 1	"Host David ""Glamour Dave"" Nienow interviews internationally known aviation artist William S. Phillips to talk about his career and art. in a 2 part show."			2018–		29 min		David Nienow, William S. Phillips	English	series
tt8880788	Rogue Artisans and Crafters: Susie Lee	"Host David ""Glamour Dave"" Nienow interviews artist Susie Lee about her art work in oils, charcoal, watercolor and miniature models."			2018–		28 min		Susie Lee, David Nienow	English	series
tt8880432	21 Questions				2018–				Tanya Burgos Conde	English	series
tt8879980	HOIA Food and Cooking				2017–				Diane Yang Kirk	English	series
tt8879940	Mythic Quest: Raven's Banquet	The owner of a successful video game design company and his troubled staff struggle to keep their hit game 'Mythic Quest' on top.	1 nomination.	2.0	2020–	TV-MA	30 min		Rob McElhenney, Charlotte Nicdao, Ashly Burch, Jessie Ennis	English	series
tt8879894	Shadowplay	Max McLaughlin is an American cop who arrives in Berlin in the summer of 1946 to help create a police force in the chaotic aftermath of the war.		1.0	2020–	Not Rated	45 min		Taylor Kitsch, Michael C. Hall, Logan Marshall-Green, Nina Hoss	English	series
tt8879626	If I Did It	Welcome to If I Did It, the show where we discuss PR kerfluffles from the world of MMA and beyond.			2015–				Alexei Auld, Eugene S. Robinson, Nathan Wilcox	English	series
tt8879588	Mind Game	With the help of a cop, a psychiatrist and a woman who can foretell the future, a brilliant paralegal works to solve an array of perplexing mysteries.		1.0	2015		45 min		Joanne Peh, Ping Hui Tay, Yaodong Zhang, Paige Chua	Chinese	series
tt8879484	CHIC's	"Season 1: Episode 1: ""Snapped"" The Chic's storm Taitiana's house to find her covered in blood and with a bloody knife in hand sitting on her bed starring in a daze with her husbands ..."			2018–		18 min		Tai Johnson, Alex Carter, Charles Gholson, Rod Thompson	English	series
tt8879354	Newbie Black			1.0	2008–2009				Mike Adriano, Joey Ray, Shaggy, Seth Gamble	English	series
tt8879238	Secrets of the Zoo	With nearly 6,000 veterinary cases and well over 100 births each year, the team at the Columbus Zoo has no shortage of incredible drama.		4.0	2018–		44 min		Mocean Melvin		series
tt8878996	The Hills: New Beginnings	The original cast of The Hills reunite alongside their children, friends, and new faces, and follows their personal and professional lives in Los Angeles.	1 nomination.	1.0	2019–				Stella Kae, Brody Jenner, Audrina Patridge, Heidi Montag	English	series
tt8878862	Invisible City	An underground world is inhabited by mythical creatures evolved from a deep lineage of Brazilian folklore. One detective who finds himself caught in a murder investigation that puts him in the middle of a battle between these two worlds.		1.0	2021–	TV-G	60 min	Júlia Pacheco Jordão, Luis Carone	Luísa Civita, Jéssica Córes, Samuel de Assis, Manuela Dieguez	Portuguese	series
tt8878840	#ONfr				2014–2017		8 min		Étienne Fortin-Gauthier, Sébastien Pierroz, Benjamin Vachet	French	series
tt8878476	The News Tank			1.0	2018–				Lisa Schurga	English	series
tt8878136	The Sky-High City of Steampuff	The Sky-High City of Steampuff is a floating island hidden among the clouds. When Steampuff's architect Haephestus Von Toot (who has been charged with keeping the world of Steampuff aloft) ...			2012–		4 min		James Farr, David Monteath, Jacky Davis, Miller Henderson	English	series
tt8877640	Love Island Sverige	Relationship-based reality show. In the ultimate game of love, a set of stunning singles jet off hoping for a summer of passion and romance. Our glamorous singles live like celebrities in a...		1.0	2018–		60 min		Malin Stenbäck	Swedish	series
tt8877446	Extraordinary Rituals	In every culture, our rituals reveal what it means to be human. They allow us to express our identity, join us together and help us navigate through life. Extraordinary Rituals explores ...	4 nominations.	1.0	2018–				Simon Reeve	English	series
tt8877326	Share Your Scare	"Have you ever had a paranormal experience or heard something go ""Bump in the Night""? In this spine tingling series hosted by internationally renowned Psychic Medium Valentina Lomborg, we ..."		1.0	2019–				Valentina Marie Lomborg	English	series
tt8877080	Circle of fate				2018–				Ashley de Lange, Anlia van Rensburg	English	series
tt8877078	Oriental Beauty				2019–2020						series
tt8876936	Sveriges Mästerkock		1 nomination.	3.0	2011–2019		60 min		Marcus Aujaley, Leif Mannerström, Mischa Billing	Swedish	series
tt8876682	Ut i naturen	Wildlife, nature conservation, viewer's videos and encounters with people living close to nature.		27.0	1992–		30 min		Petter Bøckman, Dag Dolmen	Norwegian	series
tt8876678	MisFITS Like Us	A person struggling with vitiligo, Tourette's or scarring from burns is joined by a group of total strangers living with the same condition.			2018				Will Poulter, Damian Friel	English	series
tt8876494	Remigio	Remigio siempre ha sido un Don nadie, un gañan que no hace nada con su vida, perdiendo el tiempo, bebiendo y yendo con prostitutas. Sí, porque Remigio no concibe la vida sin eso, es lo que ...			2017				Torbe, José García Ruiz, Kiko Jiménez, Maloy	Spanish	series
tt8876436	Exploring Different Brains	A weekly, collaborative interview series with Neurodiversity specialists and thought leaders from around the world.			2016–				Lori Butts, Gabrielle Cabrera, Temple Grandin, Harold Reitman	English	series
tt8876290	Eagles and Youngster	It's about Zhang Baoqing, a young man who came a long way to Dongbei and tried to find the cure for his teacher, but found himself might already involved in something very dangerous that seemed to connect to the mysterious sky hole.	4 wins & 1 nomination.	1.0	2018–				Karry Wang, Vicky Chen, Yiyi Jiang, Xiaowei Ye	Mandarin	series
tt8876272	Convénzeme			1.0	2016–2017				Mercedes Milá	Spanish	series
tt8876260	Supa Supa	Supa Supa, the unusual superhero normal guy. He always finds himself caught in the middle of impossible situations. But he has a special power : he can bend and control reality thanks to Pixilation.			2016–2017				Julien Jourdain de Muizon, Eva Studzinski, Virgile Daudet	None	series
tt8876228	Peng Life	The internet's sharpest reviewer and YouTube star Elijah Quashie (AKA The Chicken Connoisseur) reviews everything from Lamborghinis to luxury pizza with the aid of his sidekicks Nelson and Wilson and celebrity guests.			2018–		35 min		Elijah Quashie, Nelson Quaresma, Wilson Quaresma	English	series
tt8876210	Deceduti				2010–2012				Deandra Agius, Daniel Azzopardi, Julian Calleja, Mario Cassar	Maltese	series
tt8876004	#RealRapperStatus	The misadventures of a local rapper as he tries to further his career.			2018				Luke Jenison	English	series
