Title_id	Title	Year	Rated	Runtime	Director	Actors	Plot	Language	Awards	Type	BoxOffice	Production	Website
tt9776616	Ale	2020		70 min	O'Neil Bürgi	Alessandra Goh Bollier, Josephine Bakeup, Thomas Heri, Chris Chavis	"19-year-old Alessandra is a wrestling student. As a newbie, her goal is to develop a so-called ""gimmick"" for herself. A ring character of her own, which should become very similar to her ..."	German, English, French, Swiss German	1 win & 1 nomination.	movie			
tt9776600	Sachertorte	2017			Leopoldo Medugno	Alessandro De Feo, Alessio Esposito, Agnese Fois, Alessia Iacopetta		Italian		movie			
tt9776574	The Innovation of Magnus Penker	2019		3 min	Jack Roberts	Marem Hassler, Magnus Penker, Jack Roberts	The Innovation of Magnus Penker is a documentary-style look at the work and wisdom of A.I. scientist, innovation expert, Global Top 100 CEO (by CEO Magazine [2018], thought leader, and Swedish entrepreneur Magnus Penker.	English		movie			
tt9776512	Ticks	2019		4 min	Chloe Carroll	Gabriella Piazza, Chloe Carroll, Blake Rice		English		movie			
tt9776492	Forever Has Its Season	2019		19 min	Daud Sani	Alex Barone, Libby Ewing, Steve Holland, Katherine Quiceno	"In a world where marriage is on a fixed term, London Romero is the last romantic. When she finds evidence of infidelity in her parent's car, she struggles with her faith in love and the identity of her ""happily married"" parents."	English		movie			
tt9776480	Magic City Hustle	2019		116 min	Billy Corben		In Miami, a dying sport gets a reprieve when a local dog track conjures up a scheme to enlist some former has-been and never-was University of Miami athletes to play Jai-Alai as token requisite to further their parimutuel interests.	English	1 win & 1 nomination.	movie			
tt9776468	Gemäldegalerie	1988		7 min	Sieglinde Hamacher			German		movie			
tt9776452	Dress Rehearsal und Karola 2	1979		15 min	Christine Noll Brinckmann			German		movie			
tt9776424	Compartment	1990		5 min	Eva C. Heldmann			English		movie			
tt9776394	Alle Tage wieder - Let Them Swing	1974		20 min	Margarete Raspé			German		movie			
tt9776362	Never Let Me Go	2019			Anchitta Noowong	Christopher Kozak, Jannette Bloom		English		movie			
tt9776348	Teatarot Skupi	2019		51 min	Vladimir Blazevski	Blagoj Veselinov	On the outskirts of Skopje, archaeologists discovered the remains of an ancient Roman city called Skupi. The amphitheater is one of many other public buildings that testify to what was once...	Macedonian		movie			
tt9776344	Proxy	2019			Jeptha Valcich	Mervline Estinfil, Ana Gonzales, Charles Goodspeed, Paisley Lynn Greer	Will is haunted by his low self-confidence stemming from doubt from his parents. In the midst of his withering confidence, his fiancee, Audrey, is starting to slip from his finger tips. ...	English		movie			
tt9776334	Robbery	2019			Colburn South	Tyler DeWitt, Sunny Mann		English		movie			
tt9776324	The Cull	2018		5 min	Gigi Saul Guerrero	Marcio Moreno, Gabriela Reynoso, Edwin Perez, Gabriel Carter	The Cull follows a Mexican family with a dark secret who struggle to survive in divided America.	English		movie			
tt9776322	Unsettled	2019			Colburn South	Arron Barber-Stephens, Michael Turner		English		movie			
tt9776258	It's Good Business: Moving Beyond Conservation	2019			Simone Kisiel	Julia Carabias, Guillermo Castilleja, Rudolfo Dirzo, Paul Ehrlich	In 1990's Mexico, many believed rampant deforestation was simply the cost of doing business. But one man saw an alternative, and launched what would become the most successful biodiversity program in history.	English	1 win.	movie			
tt9776176	Birthmark	1999						English		movie			
tt9776154	How are the Children?	2019		48 min	Christopher Boladeres	Edward Campos, Tom Cracovaner, Nic Daniels, Dennis Embry		English		movie			
tt9776146	El Pozo	2015			Facundo Vallejos Yunes	Carlos Portaluppi, Mirela Payret, Charly Josa, Pablo Palacio		Spanish		movie			
tt9776122	Love After Anne	2019		4 min	Darrin Rose	K. Trevor Wilson, Jackie Pirico, Aisha Brown, Cara Connors	Women in Tudor England resist the romantic overtures of Henry the VIII since, you know, he beheaded his last wife.	English	2 nominations.	movie			
tt9776102	Oskara	2016		80 min	Iñaki Alforja, Pablo Iraburu	Xabier Erkizia, Eneko Gil, Ibon Huarte, Erramun Martikorena		Spanish, Basque		movie			
tt9776096	Utopic Strokes	2018		16 min	Richard el Asmar		Utopic strokes is a short documentary about the making of a pot through which religious, social and political issues intertwine.	English		movie			
tt9776082	Act! Performing Arts, Transforming the World	2018		50 min	Victor M. Barbera, Alma Llerena Fernández		1 city, 10 days, 20 plays, 25 lectures, 35 workshops, 42 choreographies, 50 volunteers, 92 countries, 700 delegates. All of them working to transform the world.	English		movie			
tt9776070	All We've Got	2019		67 min	Alexis Clements		ALL WE'VE GOT is a personal exploration of LGBTQ women's communities, cultures, and social justice work through the lens of the physical spaces they create, from bars to bookstores to arts and political hubs.	English		movie			
tt9776024	Pitch Black Heist	2022			Mark Schoonmaker	Steve Wilcox, Garrett Hines, Stefan Rollins, Gala Moody	"The aftermath of a horrific event impels a crew of thieves to embark on a pitch black heist; set during the height of ""The Unabomber"" apprehension in 1996."	German, English		movie			
tt9775942	Giro di giostra	2006		50 min	Samantha Casella	Evelyn Casamassimi, Daniele Ferrari, Rita Gallegati, Davide Gemmani		Italian		movie			
tt9775932	Rumbo al paraiso fiscal	2015		72 min	Antonio Bellido	Antonio Bellido, Paulino Marin, Luisa Gil, Angel Laín		Spanish		movie			
tt9775878	Extraordinary Night	2016		3 min	Louis Mayo	Erik Aude, Leaphy Khim, Benjamin Kim, Samantha Morelos	While celebrating their latest success, the couple must fight off unknown evils only to be saved by an unexpected hero.	English		movie			
tt9775716	The Clowns	2019		68 min	Lucas Bucci, Tomas Sposato	Lucas Bucci, Jeronimo Freixas, Tomas Sposato	Three young aspiring artists fly to Brazil to present their film at the Shortfilm World Cup. Reality and fiction merge to the point where the viewer might wonder if anything is actually real when there's a camera recording it.	Spanish		movie			
tt9775704	Le Prince de Val-Bé	2019		19 min	Jean-François Leblanc	Brian Broekaert, Irlande Côté, Gabriel Fournier, William Froment	Ex-ATV champion, Martin spent the last six years in prison. Back in his hometown, he founds out that he is no longer welcome in Val-Bélair. His sister and his niece are gonna help him proving to everybody that the Prince is not dead.	French		movie			
tt9775600	The Hoarding	2020			Karen Gillan	Jamie Brewer, Karen Gillan, Mary Henschell, Kristen Vaganos	When Mary starts her first job as a cleaner inside a hoarder's home she finds much more than she bargained for.	English		movie			
tt9775586	Hasta la Vista Baby!	2018		8 min	Baptiste Grandin	Émilie Praneuf, Angèle Regourd, Patrice Tepasso, Sarah Tricoire	Summer 96, somewhere in the French countryside. Barely out of jail, a cool activist meets up with his girlfriend. Together, they decide to rob a bank.	French		movie			
tt9775576	Cake Walk	2018		6 min	Luke Klompien	Zachary Fairless, Luke Klompien, Yesel Manrique	When sugar-crazed Zach is caught eating a decadent lunch, he is forced to face his demons - and his roommate.	English		movie			
tt9775472	The eagle's shadow	2018		47 min	Ariel Pintor		If history is written by the victors, what stories would the defeated tell?	Spanish		movie			
tt9775356	Âi no defunê	1933			Sentarô Katsuura	Shin Tokudaiji, Emiko Yagumo, Tokuji Kobayashi, Shunsaku Kashima		Japanese		movie			
tt9775202	Lactose Tolerance	2016		24 min		Katerina Hartlova, Hitomi Tanaka		English		movie			
tt9775178	Jane B.	2019						English		movie			
tt9775148	Cleaning	2015		17 min		Hitomi Tanaka		English		movie			
tt9775146	Dæth Gals	2019		15 min	Letizia Giorgio	Letizia Giorgio, Piero Ali Passatore, Giulia Quartaroli	The dreamy atmosphere of a mid-spring prom is broken by an unexpected act of revenge.	English		movie			
tt9775130	Milk for Hitomi	2015		18 min		Hitomi Tanaka		English		movie			
tt9775102	Homesport	2015		19 min		Hitomi Tanaka				movie			
tt9774984	Selfies	2015		19 min		Nadine Jansen, Hitomi Tanaka	When 2 selfie-addicted girls come together, and these 2 girls are Hitomi Tanaka and Nadine Jansen, a planned photo-shoot can easily become a sideshow.	English		movie			
tt9774762	Moyuru uzumaki - kôhen	1924			Kôroku Numata	Ichitarô Kataoka, Utako Tamaki, Hataya Ichikawa, Kanzaburô Arashi		Japanese		movie			
tt9774748	Fright	2020		28 min	Petter Grindahl	Frøya Maria Ingvaldsen, Kristoffer Andrè Karlsen, Amelia Wolf	A girl, Emalie, tries to escape from a house that keeps playing with her sanity.	Norwegian		movie			
tt9774740	Chasing Whiskey	2020			Greg Olliver	Tim Matheson, Joe Turkel, John Grisham, Shooter Jennings	A feature length documentary about Jack Daniel's Whiskey.	English		movie			
tt9774654	Hafis und Goethe	2018		77 min	Farshad Fereshteh-Hekmat	Nasser Aghayi, Natasha Alexandra, Ladan Kamyab, Pantea Parsa	This documentary explores Goethe's fascination to Hafiz.	Persian, German		movie			
tt9774640	The Young Swordsman	1954		89 min	Kimiyoshi Yasuda	Raizô Ichikawa, Ichirô Amano, Ryônosuke Azuma, Seishirô Hara		Japanese		movie			
tt9774570	The Choir	2018		5 min	Rory Springthorpe	Alistair Jay, Erick Manaka, Hannah Franklin, Nathan Ambrose		English		movie			
tt9774568	Moyuru uzumaki - zenpen	1924			Kôroku Numata	Ichitarô Kataoka, Utako Tamaki, Hataya Ichikawa, Kanzaburô Arashi		Japanese		movie			
tt9773812	Bunden	2019			Kristina Lodén Nilsson	Maria Fahl-Vikander, Susanna Helldén, Arvin Kananian, Alexandra Lindholm	Helena and Stefan are celebrating their ten year wedding anniversary with a dinner party at a big mansion in the countryside. But as the evening goes on, things they have kept from each ...	Swedish		movie			
tt9773776	Flycatcher and other earthly beings	2019		58 min	Svetlana Bychenko		"Secretive lots' hunter, I entered the vale of beings...' With this verse of Velimir Khlebnikov we enter the world of birds where flycatcher, oriole and penduline tit reveal us their ""..."	English		movie			
tt9773736	Vent de fête	2017			Marjolaine Perreten			French		movie			
tt9773698	Baldío	2019		78 min	Inés de Oliveira Cézar	Mónica Galán, Gabriel Corrado, Nicolas Mateo, Rafael Spregelburd	This film emerged from a number of experiences that we share over the years with Monica Galan, main actress of the film. I took this project with passion, or rather, the project took me. ...	Spanish		movie			
tt9773656	Invisible	2019		14 min	Xavi Fortino	Claudia Loring, Jorge Aznar, Ignacio Grifol, Akosia Sabet		Spanish, English		movie			
tt9773532	Always Say Yes	2019	Unrated	104 min	Alberto Fuguet	Gerardo Torres Rodríguez, Pavel Akindog, Anty de la Vega, Lalo Santos	Héctor travels from Hermosillo to Mexico City with the hope of posing naked for photography collective Feral. His friend Carlos chose not to go with him, and Héctor, determined to ...	Spanish	1 nomination.	movie			
tt9773494	A sud del sud	2014		98 min	Salvatore Metastasio	Alessandro Vantini, Diego Bottiglieri, Michele Kalamera		Italian		movie			
tt9773400	Maisha, Maisha Tu	2015		57 min	Yann Labry	Ahmed Olotu, Ahmed Zein, Ashraf Lukamba, Ayubu Juma	Shot in Tanzania, this feature film shows four different life stories - stories of challenges, opportunities and second chances.	Swahili		movie			
tt9773382	Post Debate Special	2018		60 min		Keith Baldrey, Chris Gailus, Mary Polak, Lynda Steele		English		movie			
tt9773380	Connection	2019		7 min	Erifili Davis	Chris Anemaat, Erin Walsh, Sasha Brook	After only a few dates, a socially awkward young man decides to confess his feelings to the free spirited object of his affections and things don't go quite as planned.	English		movie			
tt9773344	Ágape	2010		29 min	Samantha Casella	Giovanni Luca Izzo, Marina Rocco, Paolo Stella		Italian		movie			
tt9773342	La Toma del Milenio	2015		52 min	Marta Rodríguez			Spanish		movie			
tt9773332	Du tout cuit	2013		5 min	Juline Breton, Loïc Curien, Vincent Juan, Julien Tisseau					movie			
tt9773304	Es	2014			Emrah Aksel			Turkish		movie			
tt9773302	3. Elma	2014		65 min	Emrah Aksel	Bahar Dogan, Hasan Simsek, Engin Özsayin		Turkish		movie			
tt9773300	You're All Champions Now	2016								movie			
tt9773284	Wave	2017		15 min	Zhenyu LI	Marija Ilijevska, Mariana Lucía, Eddy Shore		English		movie			
tt9773250	Paris in love	2012			Christopher Guyon	Joana Cartocci		English		movie			
tt9773244	Labour Power Plant	2019		85 min	Robert Schlicht, Romana Schmalisch	Arnaud Bichon, Xavier Brossard, Franc Bruneau, Cécile Lancia		French		movie			
tt9773184	Mareld	2019		94 min	Ove Valeskog	Hanna Oldenburg, Viktor Åkerblom, Moa Malan, Matti Boustedt	A film team sets off on a catamaran to make a thriller. They come across surprises and in the end you can't distinguish between reality and fiction. In the film, we follow the fictional and documentary events in parallel.	Swedish	36 wins & 24 nominations.	movie			
tt9773182	Aatli Batli Phutli	2015		111 min	Amol Padave	Vibhav Borkar, Sampada Jogalikar-Kulkarni, Jeevan Karalkar, Aditya Kawale	Filled with fun and frolic, this upbeat children's drama follows the adventures of a group of school kids as they deal with the joy, sorrow and challenges in their lives.	Marathi		movie			
tt9773168	Bândo kyôkyakujîn chuhen	1928			Kumahiko Nishina	Hideko Yamamoto, Ryûzaburô Mitsuoka, Ken'ichi Miyajima, Wasaburô Onoe		None, Japanese		movie			
tt9773154	Poker	2018		21 min		Arena, Anri Okita, Hitomi Tanaka	"The winner takes it all. Sounds very good , especially when you win your Poker game against sexy Japanese big busty superstar Hitomi because in this case ""All"" means a lot."			movie			
tt9773128	Blind Spot	2019		3 min	Ray Kermani	Babs De Naeyer, Cisse De Naeyer, Nathan Dean, Sarah Leemans	A single blind woman gets tormented by a shadow. She can't see it, but she sure can hear it.	Dutch, English		movie			
tt9773114	Testigos de un etnocidio: memorias de Resistencia	2010		57 min	Marta Rodríguez		This documentary is the testimony of the extermination of the native peoples in Colombia during the last forty years and the struggle of these communities to conserve their lives and their ...	Spanish		movie			
tt9773072	El país roto	2018		72 min	Melissa Silva Franco		"We plunge right into the epicenter of the current crisis in Venezuela through the voices of its true protagonists. ""The Broken Country"" is five intertwined stories showing how the citizens ..."	Spanish		movie			
tt9773040	Aquae Rex	2018		70 min	Sébastien Moreau	Arthur Guerin Boeri		French		movie			
tt9773012	Soraya, amor no es olvido	2006		52 min	Marta Rodríguez		Soraya Palacios has to abandon her homeland after her husband's assassination by paramilitaries. As a mother of six children, she does her best to provide as much as she can for them.	Spanish		movie			
tt9772894	Police Line	2016			Raju Parsekar	Santosh Juvekar, Pradeep Kabra, Vijay Kadam, Manasi Naik		Marathi		movie			
tt9772874	Una casa sola se vence	2004		48 min	Marta Rodríguez, Fernando Restrepo Castañeda(co-director)			Spanish		movie			
tt9772858	Prem Kahani	2016			Satish Ranadive	Faisal Khan, Kishori Shahane, Kajal Sharma, Uday Tikekar		Marathi		movie			
tt9772822	Supposte	2016			Tony De Bonis	Stefania Corona, Tony De Bonis, Roberto Goracci, Serena Saitta		Italian		movie			
tt9772812	Lord of Shingnapur	2016			Raj Rathod	Sudhir Dalvi, Milind Gunaji, Vaibhavi Jagdish, Manoj Joshi	Lord Of Shingnapur', is a spiritual drama film centered on the popular deity - Shani Maharaj, situated in Maharashtra.	Marathi		movie			
tt9772776	Maali	2020		85 min	Ashwini Malik	Prabhat Raghunandan, Swati Sen, Gaurav Sharma	A poor, backward caste gardener unwittingly provokes a middle-class homemaker to question her long-standing marriage, leading to friction with her husband.	Hindi		movie			
tt9772730	Rewind	2016			Akash Balakrishnan	Anasooya, Athul, Keerthana, Anas Rahman	This is a shot story about how some people give meaning to your childhood love. The people who play that role never dies.	Malayalam		movie			
tt9772694	In Her Shoes	2019			Ray Kermani	Joyce Heere, Romy Heere, Jan Huysmans	7-year-old June Kauffman is attracted by a pair of red shoes in a cemetery. The shoes lead her to an old crypt where she faces her worst fears.	Dutch	3 wins & 1 nomination.	movie			
tt9772646	72	2002		4 min	Kevin Jerome Everson	DeCarrio Antwan Couley				movie			
tt9772636	Company Line	2009		30 min	Kevin Jerome Everson	DeCarrio Antwan Couley, Gerome Cross, Deadria Harrington, Loretta Robinson Hilliard		English		movie			
tt9772600	Freeze	2020			Maya Albanese	Nora Zehetner, Adrian Grenier, Chris Parnell, Kel Mitchell	A woman whose biological clock is urgently ticking meets an eccentric egg-freezing doctor who offers peace of mind in exchange for top dollar.	English	2 wins.	movie			
tt9772552	Superhomosexuals	2016		17 min	Daniel Böhm, Luciano Zubillaga	Alan D'Oro	Webcam Star Alan do Oro opens up a world to come, where flesh, sexuality and intimacy meet the immense possibilities of cybernetics and the post human.	English		movie			
tt9772546	Power Meri	2018		78 min	Joanna Lester		Power Meri follows Papua New Guinea's first national women's rugby league team, the PNG Orchids, on their journey to the 2017 World Cup in Australia. These trailblazers must beat not only ...	Tok Pisin, English		movie			
tt9772524	A Pleasant Walk on a Nice Day	2019		8 min	Ryan Mayers	Isabella DeChard, Kirk Simpson	A pleasant walk on a nice day leads to an important talk at the right time.	English		movie			
tt9772452	Trust	2020		25 min	Cush Berlyn	Cush Berlyn, Bobby Gordon, Andrea Martinez, Laura Nicole	Deep within London's streets lies opportunity. A young opportunist seeks wealth from a ruthless individual whilst discovering what it means to trust and be trusted. What can take forever to build can be shattered in seconds.	English		movie			
tt9772448	Wild Will	2019		13 min	Alan King	Alan King, Brett Cousins	When the neighbourhood dogcatcher William Page is found wandering the streets disorientated, he is brought back to the local police station for assistance. However the situation soon disintegrates into hell on earth.	English	3 wins & 10 nominations.	movie			
tt9772444	The Breakup Bar	2019			Garrett Tripp	Clay Acker, Kate Pennington, Dana Powell	Where you begin by ordering your ending.	English		movie			
tt9772374	Bloody Hell	2020	R	93 min	Alister Grierson	Ben O'Toole, Meg Fraser, Caroline Craig, Matthew Sunderland	A man with a mysterious past flees the country to escape his own personal hell - only to arrive somewhere much, much worse.	English, Finnish	1 nomination.	movie	$28,037		
tt9772352	The Swim Kid	2016		80 min	Damian Visser	Dan Canta, David Canta, Doina Canta	From a dark, stony beach, at the foot of the white cliffs of Dover, sixteen year old Dan Canta begins his epic journey as he attempts one of the toughest open water swims in the world - the English Channel.	English, Romanian		movie			
tt9772318	Til the next one	2018		7 min	Dajour Ashwood	Dajour Ashwood, Eric Croas, Susan D'Angelo, Angie Castillo Davis	Mass Shooting survivors search for answers behind the killings until the dispute ends in yet another shooting.	English		movie			
tt9772312	Bäxt üzüyü 2	2018				Bahram Bagirzada, Afaq Basirqizi, Rafael Dadasov, Duyghu Davali		Azerbaijani		movie			
tt9772274	Johnny Banger Part1 - The Gun	2019			Jonathan Keys	Alex Arco, Nila James	Proof Of Concept Short for A Feature script- The lives of a broke young man desperate to make some money, and a gangster lady stressed out by her job, intertwine in a comedic tale of life and possibly death.	English		movie			
tt9772164	Pig Blood Vampire	2020		66 min	Nick Josephs	Nick Josephs, Sara Young Chandler, S. Scott McCracken, Paul Hertel	A face blind man is accused of killing a pig.	English		movie			
tt9772094	Doubting Thomas	2020			Feraz Ozel	John Lacy, Paul Elia, Stephanie Simbari, Thomas Dale		English		movie			
tt9771908	Limbs	2019		15 min	Franci Dimitrovska	Sadie Fay, Tristan Anthony, Michelle Urbano, Marienne Castro	Every Muppet needs somebody crammed deep inside Jim Henson's left armpit to play puppet limbs. Our somebody has had enough.	English	4 wins & 3 nominations.	movie			
tt9771806	Package Fashion Film	2019		3 min	Cristina Arana	Cecilia Gómez, Alejandro Albarracín		Spanish		movie			
tt9771692	It Must Be Paprika	2018		12 min	Aissa Rose	Richie Fernandez, Angela James, Aissa Rose, Napoleon Williams III	A short film about a young Muslim African teen who creates her own freedom when she rides her first skateboard.	English		movie			
tt9771488	Beverly Hills Hair Salon	2019		3 min	Nicole Russin-McFarland	Samantha V. Hutton, Ryan McGregor, Jared Mason Murray, Scottie Russin	Gilbert the Snake returns to screens in his hair-raising second animated short. Now living large in the 1980's, the billionaire reptile reveals all on an episode of Lifestyles of the Rich, Famous and Sleazy.	English		movie			
tt9771462	Miraculous Trajectories	2019		70 min	Ran Cheng		Miraculous Trajectories is a dialogue-free film written and directed by acclaimed Chinese artist Cheng Ran, based on his nine-hour epic In Course of the Miraculous (2015), which imagines ...	Chinese		movie			
tt9771336	The A Protector	2022			Brogan McMorrow	Brogan McMorrow, Christopher McKay, Tayla Foster, Sam Dixon		English		movie			
tt9771252	Party of Two	2019		14 min	Maria Alvarez	Nicole Williams, Sahil Kaur, Jasmine Ashanti, Mika Shepherd	Over the course of one night, Maxine encounters a carefree woman who helps her discover a reason to live.	English	1 win & 2 nominations.	movie			
tt9771012	D-Lane: Life in the Fast Lane	2019		94 min	Nick Radford	Daniel Lane, Ethan Taku, Sam Dryden, Kyle Holl	"Follows the life of unsuccessful skater D-Lane, who encounters the struggles of friendship, fame and life whilst trying to maintain his ""Classic"" status."	English		movie			
tt9770928	Old Firm Day	2019			Danny McCafferty	Danny McCafferty, Fionnuala Flaherty, Pól Ó Griofa, John Naughton	A die-hard fan gets so wrapped up in a football game that he has the most important thing in his life ripped away from him.	English		movie			
tt9770920	Partridge in a Bear Tree	2018		6 min	Adam Bailey	Mark Lewis Jones, Sharon Morgan, Emillie Thomas-Curtis	Winter is fast approaching, and everyone is getting ready for a nice long sleep...but a certain Little Partridge can't quite contain her excitement. What could possibly go wrong?	English		movie			
tt9770898	Labels	2019			Courtney McCullough	Yasmin Ghasiri, Whitney Bensfield, Jack Cash, Kristina Summer		English		movie			
tt9770852	Silicon Caesar	2019			D. Charles Griffith	Johnny Santiago, Tammy-Anne Fortuin, Jeff Bold, Matt Devine	The founder and CEO of an artificial intelligence company is usurped by his co-founders the night before a new product release.	English	2 wins & 2 nominations.	movie			
tt9770716	The Cornered Mouse Dreams of Cheese	2020		131 min	Isao Yukisada	Noriko Kijima, Ryô Narita, Tadayoshi Ohkura, Miyu Sakihi	Kinky Kyoichi is a serial cheater and makes love to different easy women. The salaryman meets with an old class-mate from university called Wataru. Surprisingly, or not, he is an ...	Japanese		movie			
tt9770604	Liza ruft!	2018			Christian Carlsen	Fania Yocheles-Brantsovskaya		Yiddish, English, German		movie			
tt9770592	Azul	2019		12 min	Clinton Stark	Loni Stark	A women in a mask descends into a transformative journey.	English		movie			
tt9770538	Riding Through Life with Love by My Side	2018		12 min	Gary Winstead	Devin Teer, Margaux Stendhal, Lawrence Benedict, Christine Liao	I'll never date a cowboy she told me. A loving lifetime late, we shared our last embrace.	English		movie			
tt9770518	Vergesst nicht unseren Kampf!	2018			Christian Carlsen			German, Polish		movie			
tt9770432	The Incredible Jake Parker	2020		75 min	Angelo Thomas	Liam Wall, Sasha Jackson, Sarah Levitch, Lexi Langlois	Six months ago, Jake Parker was on top of the world as a platinum-selling singer, songwriter, and pop music sensation. Now, Jake faces the biggest challenge not just of his career but of his entire life: recovering from anorexia.	English		movie			
tt9770280	Nargi	2020			Gino Raphael Payne		From the surgery rooms of her practice to the great outdoors of Glacier National Park and Whitefish Montana, this endearing and enlightening film follows the life and career of Sarah Nargi....	English		movie			
tt9770274	Joel	2018		66 min	Mark Vanderslice, Dave Jaye(co-director)	Johnny Antonini, Dave Jaye, Mark Vanderslice	A vlogger gets a returned fan letter from a child star who has been out of the spotlight for 20 years.	English		movie			
tt9770214	Nothing Remains	2019		5 min		Mark Lynch		English		movie			
tt9770208	Polo Coat	2019			Mahdi Alimirzaee	Afsaneh Chehreh Azad, Sam Derakhshani, Shahrokh Foroutanian, Bahareh Kian Afshar	Farid should fix a marriage between his two unlikable friends to earn a huge money.	Persian	1 nomination.	movie			
tt9770166	The Dark Cinema	2019		100 min	Pyae Zaw Phyo	Kyaw Kyaw Bo, Nann Su Oo, Riya Ray, Min Thway	Four filmmaker friends rent a once grand but long decommissioned cinema in the outskirts of a rural town for the traveling film festival that they are organizing. The cinema is steeped in a...	Burmese	5 wins & 1 nomination.	movie			
tt9770150	Nomadland	2020	R	107 min	Chloé Zhao	Frances McDormand, Gay DeForest, Patricia Grier, Linda May	After losing everything in the Great Recession, a woman embarks on a journey through the American West, living as a van-dwelling modern-day nomad.	English	Nominated for 6 Oscars. Another 202 wins & 141 nominations.	movie	$1,236,000		
tt9770140	Montana, GA	2019		10 min	Ryan Dickie	Lyn McKimmey, Brad Goslee, David Young, Emery Chu	In the middle of nowhere, three best friends eternally bond when a chill vacation weekend turns supernatural.	English	2 nominations.	movie			
tt9770122	Dreams are Free	2013		58 min	Gary T. Barber		Dreams are Free is a celebration of a talented musician, composer and great storyteller. It charts the rise, fall and redemption of critically acclaimed British Saxophonist Bobby Wellins. ...			movie			
tt9770098	Selling Lies	2019		92 min	Leslie Iwerks		Documentary about a town in Macedonia that created an industry from fake news.	English	1 win & 1 nomination.	movie			
tt9770094	I am Banksy	2019		16 min	Samantha Casella	Marco Iannitello, Caterina Silva, Diego Verdegiglio, Roberto Rizzoni		Italian	12 wins.	movie			
tt9770068	Bob's Your Uncle	1995		23 min	Gary T. Barber		Bob's Your Uncle is a documentary that follows the central character 'Uncle Bob' who runs an educational theatre company and a Blues Brothers tribute band, while caring for his two children...	English		movie			
tt9770056	Shuco Station	2010		2 min	Sergio Donis			Spanish		movie			
tt9769900	From This Day Forward	2002	Not Rated	38 min	Travis Karian	Josh Baxter, Kanoa Dahlin, Duane DeSoto, Mikey DeTemple	Here's a very fresh look at longboarding with this surfing video by Travis Karian -- showing off great surfers, a multitude of styles and a variety of waves for the surf enthusiast.	English		movie			
tt9769844	101 Ways to Kill Yourself	2011		8 min	Rishi Mehta	Andrew Ash, Alyson Leigh Rosenfeld		English		movie			
tt9769822	No Escape	2018			Bo Gao	Elliot Fox, Lauren MacDonough, Brian Barrett, Bill Smith	An overworked husband's insecurity and jealous tendencies result in an irreversible marital rift leading to disturbing delusions and tragic consequences.	English		movie			
tt9769820	NCR: Chapter One	2021		65 min	Saif Baidya	Ajay Kkhundal, Manil Mayank Mishra, Puneet Kumar Mishra, Paramanand	NCR: Chapter One is an Indie Feature Film directed by Saif Baidya Under the production of Yaariyan House of Creativity in association with Shabros Films.	Hindi		movie			
